File Name,Sort Name,Sort Order,Image Agent Name#1,Image Title#1,Image Title Type#1,Image Source#1,Image Source Type#1,Image Source Refid#1$2,Image Source Refid#1$1,Image Source Refid#1,Image Source Refid Type#1,Local Call Number#1,Subject Term#1,Subject Type#1,Subject Vocab#1,Subject Refid#1,Subject Term#2,Subject Type#2,Subject Vocab#2,Subject Refid#2,Subject Term#3,Subject Type#3,Subject Vocab#3,Subject Refid#3,Subject Term#4,Subject Type#4,Subject Vocab#4,Subject Refid#4,Subject Term#5,Subject Type#5,Subject Vocab#5,Subject Refid#5,Subject Term#6,Subject Type#6,Subject Vocab#6,Subject Refid#6,Subject Term#7,Subject Type#7,Subject Vocab#7,Subject Refid#7,Subject Term#8,Subject Type#8,Subject Vocab#8,Subject Refid#8,Collection Name#1,Work Repository Holding Institution#1,Image Rights#1,Image Rights Refid#1,Measurement#1,Measurement Type#1,Measurement Unit#1,Measurement#2,Measurement Type#2,Measurement Unit#2,Measurement#3,Measurement Type#3,Measurement Unit#3,Image Date#1,Image Date Type#1,(Image) Work Type#1,(Image) Work Type Vocab#1,(Image) Work Type Refid#1,Work Agent Name#1,Work Agent Type#1,Work Agent Role#1,Work Agent Refid#1,Work Agent Name#2,Work Agent Type#2,Work Agent Role#2,Work Agent Refid#2,Work Agent Name#3,Work Agent Type#3,Work Agent Role#3,Work Agent Refid#3,Work Agent Name#4,Work Agent Type#4,Work Agent Role#4,Work Agent Refid#4,Work Agent Name#5,Work Agent Type#5,Work Agent Role#5,Work Agent Refid#5,Work Agent Name#6,Work Agent Type#6,Work Agent Role#6,Work Agent Refid#6,Work Title#1,Work Title Type#1,Work Date#1,Work Date Type#1,Work Description#1,Work Measurement#1,Work Measurement Unit#1,Work Measurement Type#1,Work Type#1,Work Type Vocab#1,Work Type Refid#1,Identifier ARK#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME,lnexp_PAGEURL
b2602763xfr.tif,abandoned farmer,1,,The abandoned farmer,General view,"Preston, Sydney Herman. The abandoned farmer. New York: C. Scribner, 1901.",Book,b2602763x,http://libraries.colorado.edu/record=b2602763~S3,,URI,PS3531.R3 A2 1901x Pub Binding,Pictorial cloth bindings United States 20th century,descriptiveTopics,rbbin,local,flowers (plants),descriptiveTopics,aat,http://vocab.getty.edu/page/aat/http://vocab.getty.edu/page/aat/300132399,trees,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300132410,houses,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300005433,hills,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300008777,fruit,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300011868,Clouds,descriptiveTopics,lctgm,http://vocab.getty.edu/page/aat/300343840,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"37,573,524",fileSize,bytes,2007-08-22,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"Preston, Sydney Herman",Personal,Author,local,"Edwards, George Wharton, 1859-1950",Personal,Binding designer,http://id.loc.gov/authorities/names/n50024488,,,,,,,,,,,,,,,,,The abandoned farmer,Traditional,1901,Publication,"Publisher's gray cloth binding with illustration on front cover of cottage in green, white and pink, surrounded by fruits and a heavy black rule. Abbreviated design on spine. Top edge yellow. Designed by George Wharton Edwards.",18,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/br464s53q42f,161114,4780,b2602763xfr.jpg|b2602763xsp.jpg|b2602763xbk.jpg,
b25889941fr.tif,adventures of a modest man,1,,The adventures of a modest man,General view,"Chambers, Robert W. The adventures of a modest man. New York: D. Appleton and Company, 1911.",Book,b25889941,http://libraries.colorado.edu/record=b2588994~S3,,URI,PS1284 .A68 1911x Pub Binding,Embossed cloth bindings United States 20th century,descriptiveTopics,rbbin,local,leaf (plant material),descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300011892,patterns (design elements),descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300010108,,,,,,,,,,,,,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"38,133,760",fileSize,bytes,2008-03-20,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"Chambers, Robert W. (Robert William), 1865-1933",Personal,Author,http://id.worldcat.org/fast/12138,"Frederick, Edmund",Personal,Illustrator,local,,,,,,,,,,,,,,,,,The adventures of a modest man,Traditional,1911,Publication,Publisher's red cloth binding with embossed design of leaves and white stamped lettering on front cover and spine.,19,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/f18b0w39s6xh,166393,4780,b25889941fr.jpg|b25889941bk.jpg|b25889941sp.jpg,
RostanLAF.tif,Aiglon: a play in six acts,1,,L'Aiglon: a play in six acts,General view,"Rostand, Edmond. L'Aiglon: a play in six acts. New York: R.H. Russell, 1901.",Book,b17388703,http://libraries.colorado.edu/record=b1738870~S3,,URI,PQ2635.O7 A32 1901 Pub Binding,Pictorial cloth bindings United States 19th century,descriptiveTopics,rbbin,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"49,804,288",fileSize,bytes,2006-08-01,Scan date,Digital Image,aat,http://vocab.getty.edu/page/aat/300215302,"Parker, Louis Napoleon, 1852-1944",Personal,,http://id.loc.gov/authorities/names/n82102904,"Rostand, Edmond, 1868-1918",Personal,Author,http://id.loc.gov/authorities/names/n79055421,,,,,,,,,,,,,,,,,L'Aiglon: a play in six acts,Traditional,1901,Publication,Copy has publisher's blue cloth binding with pattern in gold of bees and violets on front cover.,21,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/3n632596c28s,188544,4780,RostanLAF.jpg|RostanLAB.jpg,
JohnsoAlF.tif,Along French byways,1,,Along French byways,General view,"Johnson, Clifton. Along French byways. New York: The Macmillan company, 1900.",Book,b1366542x,http://libraries.colorado.edu/record=b1366542~S3,,URI,DC28 .J66 1900x Pub Binding,Pictorial cloth bindings United States 20th century,descriptiveTopics,rbbin,local,travelers,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300025879,walking,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300248181,roads,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300008217,,,,,,,,,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"48,297,556",fileSize,bytes,2006-08-09,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"Johnson, Clifton, 1865-1940",Personal,Author,http://id.worldcat.org/fast/98074,,,,,,,,,,,,,,,,,,,,,Along French byways,Traditional,1900,Publication,"Publisher's green cloth binding with illustration of peasant in light blue, dark blue and white on front cover with gold frame and lettering.",20,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/d2783c753767,163519,4780,JohnsoAlF.jpg|JohnsoAlB.jpg,
b13687323fr.tif,America and the Americans from a French point of view,1,,America and the Americans from a French point of view,General view,"Collier, Price. America and the Americans from a French point of view. New York: C. Scribner's Sons, 1897.",Book,b13687323,http://libraries.colorado.edu/record=b1368732~S3,,URI,E168 .C69 1897x Pub Binding,Pictorial cloth bindings United States 19th century,descriptiveTopics,rbbin,local,cityscapes (representations),descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300015571,People,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm007607,clothing,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300266639,locomotives,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300113388,,,,,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"37,506,048",fileSize,bytes,2008-02-13,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"Collier, Price, 1860-1913",Personal,Author,http://id.worldcat.org/fast/203808,,,,,,,,,,,,,,,,,,,,,America and the Americans from a French point of view,Traditional,1897,Publication,"Publisher's white cloth binding with illustration of travellers in front of cityscape in red, blue and black on front and back covers and black lettering on the covers and spine.",19,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/k0816j4506d2,166498,4780,b13687323fr.jpg|b13687323sp.jpg|b13687323bk.jpg,
b11628492fr.tif,Among English hedgerows,1,,Among English hedgerows,General view,"Johnson, Clifton. Among English hedgerows. New York: The Macmillan co, 1899.",Book,b11628492,http://libraries.colorado.edu/record=b1162849~S3,,URI,DA625 .J66 1899x Pub Binding,Pictorial cloth bindings United States 20th century,descriptiveTopics,rbbin,local,Sun,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm010370,walking,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300248181,roads,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300008217,People,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm007607,,,,,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"44,191,852",fileSize,bytes,2007-04-25,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"Johnson, Clifton, 1865-1940",Personal,Author,http://id.worldcat.org/fast/98074,,,,,,,,,,,,,,,,,,,,,Among English hedgerows,Traditional,1899,Publication,Special Collections copy has publisher's blue cloth binding with illustration of workers on road at sunrise stamped on front cover in black and gold. Norlin copy slightly diffferent design and colors.,19,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/j23n0t511513,159974,4780,b11628492fr.jpg|b11628492sp.jpg|b11628492bk.jpg,
b19294062fr.tif,Among the Himalayas,1,,Among the Himalayas,General view,"Waddell, L.A. Among the Himalayas. Westminster : Archibald Constable & Co., 1899.",Book,b19294062,http://libraries.colorado.edu/record=b1929406~S3,,URI,DS485.H6 W2 1899,Publishers' cloth bindings United States 19th century,descriptiveTopics,rbbin,local,mountains,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300008795,Packtrains,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm007378,,,,,,,,,,,,,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"63,953,920",fileSize,bytes,2008-02-06,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"McCormick, A. D. (Arthur David), 1860-1943",Personal,Illustrator,http://id.loc.gov/authorities/names/no97047779,"Waddell, L. A. (Laurence Austine), 1854-1938",Personal,Author,http://id.loc.gov/authorities/names/n50019535,,,,,,,,,,,,,,,,,Among the Himalayas,Traditional,1899,Publication,,25,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/h20m8p17288b,188670,4780,b19294062fr.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~32~32~188670~110683
b21004092fr.tif,amulet,1,,The amulet,General view,"Murfree, Mary Noailles. The amulet. New York: The Macmillan company, 1906.",Book,b21004092,http://libraries.colorado.edu/record=b2100409~S3,,URI,PS2454 A6 1906x Pub Binding,Pictorial cloth bindings United States 20th century,descriptiveTopics,rbbin,local,Clouds,descriptiveTopics,lctgm,http://vocab.getty.edu/page/aat/300343840,Feathers,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm003898,arrows,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300036976,forts,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300006909,,,,,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"40,156,160",fileSize,bytes,2007-08-14,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"Murfree, Mary Noailles, 1850-1922",Personal,Author,http://id.loc.gov/authorities/names/n50027584,"Richards, Amy, active 1896-1918",Personal,Binding designer,http://id.loc.gov/authorities/names/no2007095509,,,,,,,,,,,,,,,,,The amulet,Traditional,1906,Publication,"Publisher's brown cloth binding with design in red, black and white on front cover of two arrows, flanking a panel with illustration of a fort. Gold lettering on front cover and spine. Designed by Amy Richards.",20,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/p4187r24r8t4,166568,4780,b21004092sp.jpg|b21004092fr.jpg|b21004092bk.jpg,
b26531720fr.tif,Andersonville,1,,Andersonville,General view,"McElroy, John. Andersonville. Toledo: D. R. Locke, 1879.",Book,b26531720,http://libraries.colorado.edu/record=b2653172~S3,,URI,E612.A5 M4 1879x Pub Binding,Pictorial cloth bindings United States 19th century,descriptiveTopics,rbbin,local,vines,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300132406,forts,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300006909,Birds,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm001044,soldiers,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300185678,War casualties,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm011474,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"42,340,352",fileSize,bytes,2008-02-20,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"McElroy, John, 1846-1929",Personal,Author,http://id.loc.gov/authorities/names/n89602546,,,,,,,,,,,,,,,,,,,,,Andersonville,Traditional,1879,Publication,"Publisher's blue cloth binding with illustration on front cover of prison in gold and title in black with black vine, surrounded by black frame. Black and gold illustration of prison on spine. Brown endpapers.",23,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/fm981x741377,166604,4780,b26531720sp.jpg|b26531720fr.jpg|b26531720bk.jpg,
b12512047fr.tif,Arkansas planter,1,,An Arkansas planter,General view,"Read, Opie Percival. An Arkansas planter. Chicago: Rand, McNally & Company. 1896.",Book,b12512047,http://libraries.colorado.edu/record=b1251204~S3,,URI,PS2679.R6 A7 1896x Pub Binding,Pictorial cloth bindings United States 19th century,descriptiveTopics,rbbin,local,houses,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300005433,smoke,descriptiveTopics,aat,http://vocab.getty.edu/page/aat/300073252,Plants,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm007880,Cotton,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm002614,Chimneys,descriptiveTopics,lctgm,http://www.loc.gov/pictures/item/tgm001990,,,,,,,,,Publishers' Bindings Collection,University of Colorado Boulder Libraries Rare and Distinctive Collections,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,600,resolution,ppi,24 color,bitDepth,bit,"40,264,704",fileSize,bytes,2007-07-18,Scan date,Digital image,aat,http://vocab.getty.edu/page/aat/300215302,"Read, Opie, 1852-1939",Personal,Author,http://id.loc.gov/authorities/names/n50043926,"Denslow, W. W. (William Wallace), 1856-1915",Personal,Binding Designer,http://id.loc.gov/authorities/names/n81047305,,,,,,,,,,,,,,,,,An Arkansas planter,Traditional,1896,Publication,"Publisher's green cloth binding with olive, white and red illustration of cabin in cotton fields on front cover, continued onto spine. Designed by W. W. Denslow.",20,cm,Height,Covers (Illustration),lctgm,https://www.loc.gov/pictures/item/tgm002670/,https://ark.colorado.edu/ark:/47540/jk9r2t54m25t,166724,4780,b12512047fr.jpg|b12512047sp.jpg|b12512047bk.jpg,
